Adelphi University,South Ave,Garden City,NY,"""11530-0701"""
Adirondack Community College,640 Bay Rd,Queensbury,NY,"""12804"""
Adler Graduate School,1550 East 78th Street,Richfield,MN,"""55423"""
Adler School of Professional Psychology,65 E Wacker Pl Ste 2100,Chicago,IL,"""60601"""
Adrian College,110 S Madison St,Adrian,MI,"""49221-2575"""
Adrian Dominican Montessori Teacher Education Institute,1257 E. Siena Heights Dr.,Adrian,MI,"""49221"""
Advance Science Institute,3750 W 12 Ave,Hialeah,FL,"""33012"""
Advance Welding Institute,"2 Green Tree Drive, Suite 3",South Burlington,VT,"""05403"""
Advanced Career Institute - Visalia,1728 North Kelsey Street,Visalia,CA,"""93291"""
Advanced College,13180 Paramount Blvd.,South Gate,CA,"""90280"""
Advanced Technical Centers,5600  NW 36 Street,Miami Spings,FL,"""33266"""
Advanced Technology Institute,5700 Southern Blvd Ste 100,Virginia Beach,VA,"""23462"""
Advanced Training Associates,"1810 Gillespie Way, Suite 104",El Cajon,CA,"""92020"""
Advanced Training Institute,5150 South Decatur Boulevard,Las Vegas,NV,"""89118"""
Advantage Career Institute,2 Meridian Road A-B,Eatontown,NJ,"""07724"""
Adventist University of Health Sciences,671 Winyah Drive,Orlando,FL,"""32803"""
Advocate Trinity Hospital,2320 E 93rd St,Chicago,IL,"""60617-9984"""
Aerobics and Fitness Association of America (AFAA) Distance Education Center,"15250 Ventura Boulevard, Suite 200",Sherman Oaks,CA,"""91403"""
Aerosim Flight Academy - Sanford,2700 Flight Line Ave,Sanford,FL,"""32773"""
Agape English Language Institute for Internationals,"1600 Park Circle, Suite 116",Columbia,SC,"""29201"""
Age of Montessori,"301 Evergreen Drive, Suite 100",Bozeman,MT,"""59715"""
Agnes Scott College,141 E. College Ave,Decatur,GA,"""30030-3797"""
AIB College of Business,2500 Fleur Drive,Des Moines,IA,"""50321-1799"""
Aiken Technical College,2276 Jefferson Davis Highway,Graniteville,SC,"""29829"""
AIMS Academy,1711 South Interstate 35 East,Carrollton,TX,"""75006"""
Aims Academy - Grand Prairie,"1106 N HIGHWAY 360, #305",GRAND PRAIRIE,TX,
Aims Community College,5401 W. 20th St.,Greeley,CO,"""80632"""
Air Force Institute of Technology,"2950 Hobson Way, Bldg 640",Wright-Patterson AFB,OH,"""45433"""
Air University,55 LeMay Plaza South,Maxwell AFB,AL,"""36112-6335"""
Airman's Proficiency Center,3565 NE Cornell Road,Hillsboro,OR,"""97124"""
"Airstreams Renewables, Inc.","410 West J Street, Suite B",Tehachapi,CA,"""93561"""
Akron Machining Institute Inc,2959 Barber Rd,Norton,OH,"""44203"""
Alabama A & M University,4900 Meridian St,Normal,AL,"""35762"""
Alabama College of Osteopathic Medicine,"Doctors Building, 2nd FL, 1108 Ross Clark Circle",Dothan,AL,"""36301"""
Alabama Southern Community College,2800 South Alabama Avenue,Monroeville,AL,"""36460"""
Alabama State University,915 S Jackson Street,Montgomery,AL,"""36104"""
Alamance Community College,1247 Jimmie Kerr Road,Graham,NC,"""27253-8000"""
Alaska Bible College - Palmer,248 East Elmwood,Palmer,AK,"""99645"""
Alaska Career College,1415 E Tudor Road,Anchorage,AK,"""99507-1033"""
Alaska Christian College,35109 Royal Pl,Soldotna,AK,"""99669-9755"""
Alaska Pacific University,4101 University Dr,Anchorage,AK,"""99508"""
Alaska Vocational Technical Center,809 Second Avenue,Seward,AK,"""99664-0889"""
Albany College of Pharmacy,106 New Scotland Avenue,Albany,NY,"""12208-3492"""
Albany Law School,80 New Scotland Avenue,Albany,NY,"""12208"""
Albany Medical College,47 New Scotland Ave,Albany,NY,"""12208-0000"""
Albany State University,504 College Drive,Albany,GA,"""31705"""
Albany Technical College,1704 South Slappey Boulevard,Albany,GA,"""31701"""
Albany-Schoharie Career and Technical School,1015 Watervliet-Shaker Road,Albany,NY,"""12205"""
Albertus Magnus College,700 Prospect St,New Haven,CT,"""06511-1189"""
Albion College,611 E Porter St,Albion,MI,"""49224"""
Albright College,1621 N. 13th St.,Reading,PA,"""19612-5234"""
Alcorn State University,1000 ASU Dr Ste 359,Alcorn State,MS,"""39096-7500"""
Alderson Broaddus University,101 College Hill Drive,Philippi,WV,"""26416"""
Alegent Health School of Radiologic Technology,7500 Mercy Road,Omaha,NE,"""68124"""
"Alexander Academy, Inc.",112 River Street,Fitchburg,MA,"""01420"""
Alexandria School of Scientific Therapeutics,809 S Harrison St,Alexandria,IN,"""46001-0287"""
Alexandria Technical College,1601 Jefferson Streeet,Alexandria,MN,"""56308"""
Alfred University,One Saxon Dr,Alfred,NY,"""14802-1205"""
Alhambra Medical University,"25 S. Raymond Avenue, Suite 201",Alhambra,CA,"""91801"""
Alice Lloyd College,100 Purpose Rd,Pippa Passes,KY,"""41844"""
All American Career College,"320 North E. Street, Suite 513",San Bernardino,CA,"""92401"""
All State Career School,"1200 Lebanon Road, Suite 101",West Mifflin,PA,"""15122"""
All-State Career School,2200 Broening Hwy Ste 160,Baltimore,MD,"""21224"""
Allan Hancock College,800 S College Dr,Santa Maria,CA,"""93454-6399"""
Allegany College of Maryland,12401 Willowbrook Rd SE,Cumberland,MD,"""21502"""
Allegheny College,520 N Main St,Meadville,PA,"""16335-3902"""
Allegheny Wesleyan College,2161 Woodsdale Rd,Salem,OH,"""44460-9598"""
Allen College,1825 Logan Avenue,Waterloo,IA,"""50703-1999"""
Allen County Community College,1801 N Cottonwood,Iola,KS,"""66749"""
Allen School - Jamaica,163-18 Jamaica Avenue,Jamaica,NY,"""11432"""
Allen University,1530 Harden Street,Columbia,SC,"""29204"""
Alliance Computing Solutions (ACS),"3660 Main Street, 4th Floor",Flushing,NY,"""11354"""
Alliant International University,10455 Pomerado Road,San Diego,CA,"""92131-1799"""
Allied American University,"22952 Alcalde Drive, Suite 150",Laguna Hills,CA,"""92653"""
Allied Business Schools,22952 Alcalde Drive,Laguna Hills,CA,"""92653"""
Allied Health Institute,51 North State Road 7,Plantation,FL,"""33317"""
Allied Medical & Health Services,"730 South Central Avenue, Suite 208",Glendale,CA,"""91204"""
Allied Schools,22952 Alcalde Drive,Laguna Hills,CA,"""92653"""
Alma College,614 W. Superior Street,Alma,MI,"""48801-1599"""
Alpena Community College,665 Johnson Street,Alpena,MI,"""49707"""
Alpine College,10020 E. Knox Ave. Suite 500,Spokane Valley,WA,"""99206"""
ALPS Language School,430 Broadway East,Seattle,WA,
Altamaha Technical College,1777 W Cherry St,Jesup,GA,"""31545"""
Alvernia University,400 Saint Bernardine St,Reading,PA,"""19607-1799"""
Alverno College,3400 S 43rd  St,Milwaukee,WI,"""53234-3922"""
Alvin Community College,3110 Mustang Rd,Alvin,TX,"""77511-4898"""
Amarillo College,2200 S. Washington,Amarillo,TX,"""79109"""
Amberton University,1700 Eastgate Dr,Garland,TX,"""75041-5595"""
Ambria College of Nursing,5210 Trillium Boulevard,Hoffman Estate,IL,"""60192"""
American Academy McAllister Institute of Funeral Services,619 West 54th Street - 6th Floor,New York,NY,"""10019"""
American Academy of Acupuncture and Oriental Medicine,1925 West County Road B2,Roseville,MN,"""55113"""
American Academy of Art,332 S Michigan Ave,Chicago,IL,"""60604-4302"""
American Academy of Dramatic Arts,120 Madison Ave,New York,NY,"""10016"""
American Academy of English,530 Golden Gate Avenue,San Francisco,CA,
American Advanced Technicians Institute,6801 W 20th St,Hialeah,FL,"""33014"""
American Baptist College,1800 Baptist World Ctr Dr,Nashville,TN,"""37207"""
American Baptist Seminary of the West,2606 Dwight Way,Berkeley,CA,"""94704-3029"""
American Broadcasting School,4511 SE 29th St,Oklahoma City,OK,"""73115"""
American Business and Technology University,2700 N. Belt Highway,Saint Joseph,MO,"""64506"""
American Career College - Los Angeles,4021 Rosewood Avenue,Los Angeles,CA,"""90004"""
American Career College - Ontario,3130 East Sedona Court,Ontario,CA,"""91764"""
American College,270 Bryn Mawr Ave,Bryn Mawr,PA,"""19010-2196"""
American College of Acupuncture and Oriental Medicine,9100 Park West Drive,Houston,TX,"""70063-4104"""
American College of California,"760 Market St., #1009",San Francisco,CA,"""94102"""
American College of Education,"101 West Ohio Street, Suite 2000",Indianapolis,IN,"""46204"""
American College of Healthcare,"11801 Pierce Street, Suite 100",Riverside,CA,"""92505"""
American College of Healthcare Sciences,5940 SW Hood Ave,Portland,OR,"""97239"""
American College of Traditional Chinese Medicine,455 Arkansas St,San Francisco,CA,"""94107"""
American Comedy Institute,"481 8th Avenue, Suite 736",New York,NY,"""10001"""
American Commercial College,3177 Executive Dr,San Angelo,TX,"""76904"""
American Commercial College of Texas,5119 Twin Towers,Odessa,TX,"""79762"""
American Conservatory Theater,30 Grant Ave,San Francisco,CA,"""94108-5834"""
American English College,"111 N. Atlantic Blvd., Suite 112",Monterey Park,CA,
American Film Institute,2021 North Western Avenue,Los Angeles,CA,"""90027"""
American Graduate University,733 North Dodsworth Avenue,Covina,CA,"""91724"""
American Health Information Management Association,"233 North Michigan Avenue, Suite 2150",Chicago,IL,"""60601"""
American Health Institute,10138 US Highway 19,Port Richey,FL,"""34668"""
American Indian College of the Assemblies of God,10020 N 15th Ave,Phoenix,AZ,"""85021"""
American Institute,99 South Street,West Hartford,CT,"""06110-1922"""
American Institute - Lauderdale Lakes,3190 N State Rd 7,Lauderdale Lakes,FL,"""33319"""
American Institute for Paralegal,560 Lans Way,Ann Arbor,MI,"""48103"""
American Institute of Alternative Medicine,6685 Doubletree Ave,Columbus,OH,"""43229"""
American Institute of Applied Science,100 Hunter Place,Youngsville,NC,"""27596"""
American Institute of Interior Design,13014 Saguaro Boulevard,Fountain Hills,AZ,"""85268"""
American Institute of Medical Sciences and Education,4500 New Brunswick Avenue,Piscataway,NJ,"""08854"""
American Institute of Medical Sonography,"5450 W. Sahara Avenue, Suite 320 & 330",Las Vegas,NV,"""89146"""
American Institute of Medical Technology,"4500 South Garnett, Suite 110",Tulsa,OK,"""74146"""
American Institute of Pharmaceutical Technology,210 Lee Place,Hackensack,NJ,"""06701"""
American Institute of Technology,440 S 54th Ave,Phoenix,AZ,"""85043-4729"""
American Institute of Technology - Fontana,14235 Slover Avenue,Fontana,CA,"""92337-7145"""
American Institute of Technology - Gardena,18010 S. Figueroa Street,Gardena,CO,"""90248-4295"""
American Institute of Technology - NV,4020 E. Lone Mountain Road,North Las Vegas,NV,"""89081-2700"""
American InterContinental University,"231 North Martingale Road, 6th floor",Schaumburg,IL,"""60173"""
American International College,1000 State Street,Springfield,MA,"""01109"""
American Jewish University,15600 Mulholland Dr,Los Angeles,CA,"""90077-1519"""
American Medical Academy,12215 SW 112 Street,Miami,FL,"""33186"""
American Medical Sciences Center,"225 West Broadway, Suite 115",Glendale,CA,"""91204"""
American Museum of Natural History - Richard Gilder Graduate School,Central Park West at 79th Street,New York,NY,"""10024"""
American Musical and Dramatic Academy - Los Angeles,6305 Yucca Street,Los Angeles,CA,"""90028"""
American Musical and Dramatic Academy - New York,211 West 61st Street,New York,NY,"""10023"""
American National College,1611- E Spencer,South Houston,TX,"""77587-3714"""
American National University - Salem,1813 E Main St,Salem,VA,"""24153"""
American Pacific College - Los Angeles,1526 West 7th College,Los Angeles,CA,"""90017"""
American Pathways University,2227 Franklin Street,Denver,CO,"""80205"""
American Professional Institute - Gainesville,"675 E.E. Butler Parkway, Suite K",Gainesville,GA,"""30501"""
American Professional Institute - Macon,"3076 Riverside Drive, Suite 700",Macon,GA,"""31201"""
American Public University System,111 West Congress Street,Charles Town,WV,"""25414"""
American River College,4700 College Oak Dr,Sacramento,CA,"""95841-4286"""
American Samoa Community College,PO Box 2609,Pago Pago,AS,"""96799-2609"""
American School of Business,702 Professional Drive North,Shreveport,LA,"""71105"""
American School of Technology,4599 Morse Center Road,Columbus,OH,"""43229-6665"""
American Scientific Institute,"3540 Wilshire Boulevard, Suite 200",Los Angelas,CA,"""90010"""
American Sentinel University - Aurora,"2260 South Xanadu Way, Suite 310",Aurora,CO,"""80014"""
American Trade School,3925 Industrial Drive,St. Ann,MO,"""63074"""
American University,4400 Massachusetts Avenue N.W.,Washington,DC,"""20016"""
American University of Armenia,300 Lakeside Drive. 4th Floor,Oakland,CA,"""94612"""
American University of Health Sciences,1600 East Hill Street,Signal Hill,CA,"""90755"""
American Winds Flight Academy,1600 Triplett Boulevard,Akron,OH,"""44306"""
AmeriTech College - Provo,2035 North 550 West,Provo,UT,"""84604"""
AMG Medical Institute,"175 Market Street, 4th Floor",Paterson,NJ,"""07505"""
Amherst College,Boltwood Avenue,Amherst,MA,"""01002-5000"""
Amridge University,1200 Taylor Rd,Montgomery,AL,"""36117-3553"""
Anabaptist Mennonite Biblical Seminary,3003 Benham Ave,Elkhart,IN,"""46517-1999"""
Anaheim University,"1240 S. State College Boulevard, Room 110",Anaheim,CA,"""92806"""
Anamarc College - Santa Teresa,"2660 Airport Road, Suite 780",Santa Teresa,NM,"""88008"""
Ancilla College,9601 Union Road,Donaldson,IN,"""46513-0001"""
Anderson Medical Career College,10752 Burbank Boulevard,North Hollywood,CA,"""91601"""
Anderson University,1100 E 5th St,Anderson,IN,"""46012-3495"""
Andover Newton Theological School,210 Herrick Rd,Newton Centre,MA,"""02459-2243"""
Andrew College,413 College St,Cuthbert,GA,"""39840-1395"""
"Andrew Terranova and Associates, Inc. Dale Carnegie Training",2350 N. Forest Road,Getzville,NY,
Andrews University,US 31 North,Berrien Springs,MI,"""49104"""
Angeles College of Nursing,"3440 Wilshire Boulevard, Suite 310",Los Angeles,CA,"""90010"""
Angeles Institute,"11688 South Street, Suite 205",Artesia,CA,"""90701"""
Angelina College,3500 South First,Lufkin,TX,"""75902-1768"""
Angelo State University,2601 W Avenue N,San Angelo,TX,"""76909"""
Anna Maria College,10 Sunset Lane,Paxton,MA,"""01612-1198"""
Anne Arundel Community College,101 College Parkway,Arnold,MD,"""21012"""
Annenberg School of Nursing,19300 Sherman Way,Reseda,CA,"""91355"""
Anoka Technical College,1355 W Hwy 10,Anoka,MN,"""55303"""
Anoka-Ramsey Community College,11200 Mississippi Blvd. NW,Coon Rapids,MN,"""55433"""
Antelope Valley College,3041 W Ave K,Lancaster,CA,"""93536-5426"""
Anthem College - Bryman School,"2250 West Peoria Avenue, Building A, Suite 100",Phoenix,AZ,"""85029"""
Anthem College - Maryland Heights,"13723 Riverport Drive, Suite 103",Maryland Heights,MO,"""63043"""
Anthem College - Phoenix,1515 E Indian School Road,Phoenix,AZ,"""85014"""
Anthem Institute - Jersey City,"40 Journal Square, 1st Floor",Jersey City,NJ,"""07306"""
Anthem Institute - North Brunswick,"US Route 1, South",North Brunswick,NJ,"""08902"""
Anthem Institute - Parsippany,959 Rt 46 East,Parsippany,NJ,"""07054"""
Antioch School of Church Planting and Leadership Development,2400 Oakwood Road,Ames,IA,"""50014"""
Antioch University,900 Dayton Street,Yellow Springs,OH,"""45387"""
"Anton Aesthetics Academy, Inc.","1233 South Military Trail, Suite C",West Palm Beach,FL,"""33415"""
Antonelli College - Cincinnati,124 East Seventh Street,Cincinnati,OH,"""45202"""
Antonelli College - Hattiesburg,1500 N 31st Ave,Hattiesburg,MS,"""39401"""
Antonelli College - Jackson,2323 Lakeland Drive,Jackson,MS,"""39232"""
Antonelli Institute,300 Montgomery Ave,Erdenheim,PA,"""19038-8242"""
Antonelli Medical and Professional Institute,"1700 Industrial Hwy, Lower Level",Pottstown,PA,"""19464"""
AOMA Graduate School of Integrative Medicine,2700 W Anderson Ln Ste 204,Austin,TX,"""78757"""
Apex School of Theology,2945 South Miami Blvd Ste 114,Durham,NC,"""27703"""
Apex Technical School,635 Ave of the Americas,New York,NY,"""10011"""
Apollos University,"17011 Beach Boulevard, Suite 900",Huntington Beach,CA,"""92647"""
Appalachian Bible College,161 College Drive,Mt. Hope,WV,"""25880"""
Appalachian College of Pharmacy,1060 Dragon Road,Oakwood,VA,"""24631"""
Appalachian School of Law,1169 Edgewater Drive,Grundy,VA,"""24614-2825"""
Appalachian State University,,Boone,NC,"""28608"""
Appalachian Technical College,100 Campus Drive,Jasper,GA,"""30143"""
APT College,"1939 Palomar Oaks Way, Suite A",Carlsbad,CA,"""92011"""
Aquinas College,4210 Harding Roadd,Nashville,TN,"""32705"""
Aquinas Institute of Theology,23 South Spring Avenue,St. Louis,MO,"""63108"""
Arapahoe Community College,5900 S. Santa Fe Dr.,Littleton,CO,"""80160-9002"""
Arcadia University,450 S Easton Rd,Glenside,PA,"""19038-3295"""
ARCLabs,"2615 Highway 153, Unit B-3",Piedmont,SC,"""29673"""
Argosy University - Orange County Campus,601 South Lewis Street,Orange,CA,"""92868-4844"""
Arizona Automotive Institute,6829 N 46th Ave,Glendale,AZ,"""85301-3579"""
Arizona Christian University,2625 E. Cactus Road,Phoenix,AZ,"""85032"""
Arizona College,"4425 W Olive Avenue, Suite 300",Glendale,AZ,"""85302"""
Arizona School of Acupuncture and Oriental Medicine,"4646 East Fort Lowell Rd., Suite 103",Tucson,AZ,"""85712"""
Arizona State University,P.O. Box 2203,Tempe,AZ,"""85287"""
"Arizona Training Group, LLC Dale Carnegie Training of Arizona","4500 S. Lakeshore Drive, #300",Tempe,AZ,"""85282"""
Arizona Western College,P.O. Box 929,Yuma,AZ,"""85366"""
Arkansas Baptist College,1621 Dr. Martin Luther King Drive,Little Rock,AR,"""72202"""
Arkansas Northeastern College,2501 South Division Street,Blytheville,AR,"""72316"""
Arkansas State University,P.O. Box 600,State University,AR,"""72467"""
Arkansas State University - Beebe,P.O. Box 1000,Beebe,AR,"""72012-1000"""
Arkansas State University - Newport,7648 Victory Blvd.,Newport,AR,"""72112"""
Arkansas State University Mountain Home,1600 South College Street,Mountain Home,AR,"""72653"""
Arkansas Tech University,"Administration Bldg. 200, 1509 North Boulder Avenue",Russellville,AR,"""72801-2222"""
Arkansas Valley Technical Institute of Arkansas Tech University,Hwy. 23,Ozark,AR,"""72949"""
Arlington Baptist College,3001 W Division,Arlington,TX,"""76012-3425"""
Arlington Career Institute,901 Ave K,Grand Prairie,TX,"""75050"""
Arlington Medical Institute,"1001 N.E. Green Oaks Boulevard, Suite 190",Arlington,TX,"""76006"""
Armstrong Atlantic State University,11935 Abercorn St,Savannah,GA,"""31419-1997"""
Army Institute for Professional Development U.S. Training Ar,ATTN: ATIC-ITS Individual Training Support Directo,Ft. Eustis,VA,"""23604"""
Army Quartermaster Center and School,1201 22nd Street,Fort Lee,VA,"""23801"""
Army Transportation and Aviation Logistics School,"711 B Avenue, Bldg 2300",Ft. Lee,VA,"""23801"""
Arnot Ogden Medical Center School of Radiologic Technology,600 Roe Avenue,Elmira,NY,"""14905-1676"""
Art Academy of Cincinnati,1212 Jackson Street,Cincinnati,OH,"""45202-1706"""
Art Center College of Design,1700 Lida St,Pasadena,CA,"""91103"""
Art Institute of Cincinnati,1171 East Kemper Road,Cincinnati,OH,"""45246-3322"""
Art Institute of Ohio - Cincinnati,"8845 Governors Hill Drive, Suite 100",Cincinnati,OH,"""45249"""
Art Instruction Schools,3400 Technology Drive,Minneapolis,MN,"""55418"""
ASA Institute of Business and Computer Technology,151 Lawrence Street,Brooklyn,NY,"""11201"""
Asbury Theological Seminary,204 N Lexington Ave,Wilmore,KY,"""40390-1199"""
Asbury University,1 Macklem Drive,Wilmore,KY,"""40390-1198"""
Ashdown College of Health Sciences,101 East Redlands Blvd. Suite 285,Redlands,CA,"""92373"""
Asher College,"1215 Howe Avenue, Suite 101",Sacramento,CA,"""95825"""
Asheville Buncombe Technical Community College,340 Victoria Rd,Asheville,NC,"""28801-4897"""
Ashford University,400 North Bluff Blvd.,Clinton,IA,"""52732"""
Ashland Community and Technical College,1400 College Drive,Ashland,KY,"""41101-3683"""
Ashland Theological Seminary,910 Center St,Ashland,OH,"""44805"""
Ashland University,401 College Ave,Ashland,OH,"""44805"""
Ashworth Career Programs,"6625 The Corners Parkway, Suite 500",Norcross,GA,"""30092"""
Ashworth College,6625 The Corners Parkway,Norcross,GA,"""30092"""
ASI Career Institute - Turnersville,5360 Black Horse Pike,Turnersville,NJ,"""08012"""
Asnuntuck Community College,170 Elm St,Enfield,CT,"""06082"""
Aspen University,"720 South Colorado Boulevard, Suite 1150-N",Denver,CO,"""80246"""
Assabet Valley Regional Technical School,215 Fitchburg St,Marlborough,MA,"""01752"""
Assemblies of God Theological Seminary,1435 N Glenstone Ave,Springfield,MO,"""65802-2131"""
Associated Beth Rivkah Schools,310 Crown St,Brooklyn,NY,"""11225"""
Associated Technical College,1670 Wilshire Blvd,Los Angeles,CA,"""90017-1604"""
Assumption College,500 Salisbury St,Worcester,MA,"""01609-1296"""
Assumption College for Sisters,350 Bernardsville Road,Mendham,NJ,"""07945-0800"""
Aston International Academy,1201 W. 24th #210,Austin,TX,"""78705"""
At-Home Professions,2001 Lowe Street,Fort Collins,CO,"""80525"""
ATA Career Education,"10180 Linn Station Road, Suite A-200",Louisville,KY,"""40223"""
"Atelier Esthetique Institute of Esthetics, Inc.","386 Park Avenue South, Suite #1409",New York,NY,"""10016"""
Athenaeum of Ohio,6616 Beechmont Ave,Cincinnati,OH,"""45230-2091"""
Athens State University,300 N Beaty St,Athens,AL,"""35611"""
Athens Technical College,800 US Hwy 29 N,Athens,GA,"""30601-1500"""
ATI Career Training Center - Dallas,10003 Technology Blvd. West,Dallas,TX,"""75220-4316"""
ATI Career Training Center - Fort Lauderdale,2890 Northwest 62nd Street,Fort Lauderdale,FL,"""33309-9731"""
ATI Career Training Center - Garland,3035 South Shiloh Road,Garland,TX,"""75041"""
ATI Career Training Center - North Richland Hills,"6351 Boulevard 26, Suite 100",North Richland Hills,TX,"""76180-1529"""
ATI Career Training Center - Richardson,"1111 Digital Drive, Suite 101",Richardson,TX,"""75081"""
ATI Career Training Center - Waco,1417 South Valley Mills Road,Waco,TX,"""76711"""
ATI College,12440 Firestone Blvd Ste 2001,Norwalk,CA,"""90650"""
ATI College - Santa Ana,"1125 E. 17th Street,  Suite N251",Santa Ana,CA,"""92701"""
ATI College of Health,1395 NW 167th St,Miami,FL,"""33169"""
ATI Technical Training Center,6627 Maple Ave,Dallas,TX,"""75235"""
Atlanta Ballet Centre for Dance Education,1695 Marietta Boulevard,Atlanta,GA,"""30318"""
Atlanta Institute of Music,2875 Breckinridge Boulevard,Duluth,GA,"""30096"""
Atlanta Job Corps Center,"239 West Lake Avenue, NW",Atlanta,GA,"""30314"""
Atlanta Metropolitan State College,"1630 Metropolitan Parkway, SW",Atlanta,GA,"""30310-4498"""
Atlanta Technical College,"1560 Metropolitan Pkwy, S.W.",Atlanta,GA,"""30310"""
Atlantic Acting School,"76 Ninth Avenue, Suite 537",New York,NY,"""10011"""
Atlantic Cape Community College,5100 Black Horse Pike,Mays Landing,NJ,"""08330-2699"""
Atlantic Institute of Oriental Medicine,"100 E Broward Blvd, Suite 100",Fort Lauderdale,FL,"""33301-3510"""
Atlantic Technical Center,4700 Coconut Creek Parkway,Coconut Creek,FL,"""33063"""
Atlantic University,215 67th Street,Virginia Beach,VA,"""23451"""
Atlantis University,1442 Biscayne Boulevard,Miami,FL,"""33132"""
ATP Flight Academy,1555 The Greens Way,Jacksonville,FL,"""32250"""
ATS Institute of Technology,325 Alpha Park Dr,Highland Heights,OH,"""44143"""
Auburn University Main Campus,,Auburn University,AL,"""36849"""
Auburn University-Montgomery,7440 East Drive P.O. Box 244023,Montgomery,AL,"""36117-3596"""
Augsburg College,2211 Riverside Ave,Minneapolis,MN,"""55454"""
Augusta State University,2500 Walton Way,Augusta,GA,"""30904-2200"""
Augusta Technical College,3200 Augusta Tech Drive,Augusta,GA,"""30906"""
Augustana College,639 38th St,Rock Island,IL,"""61201-2296"""
Aultman College of Nursing and Health Sciences,2600 Sixth Street SW,Canton,OH,"""44710-1799"""
Aurora St. Luke's Medical Center,180 W. Grange Avenue,Milwaukee,WI,"""53207"""
Aurora University,347 S Gladstone Ave,Aurora,IL,"""60506-4892"""
Austin College,900 N Grand Ave,Sherman,TX,"""75090-4400"""
Austin Community College,5930 Middle Fiskville Rd,Austin,TX,"""78752"""
Austin Graduate School of Theology,1909 University Ave,Austin,TX,"""78705"""
Austin Kade Academy,1646 South Woodruff Avenue,Idaho Fall,ID,"""83404"""
Austin Peay State University,601 College St,Clarksville,TN,"""37044"""
Austin Presbyterian Theological Seminary,100 E 27th St,Austin,TX,"""78705-5797"""
Automotive Dealership Institute,"6613 N. Scottsdale Road, Suite 100",Scottsdale,AZ,"""85250"""
Automotive Training Center,114 Pickering Way,Exton,PA,"""19341-1310"""
Automotive Training Center - Warminster PA,900 Johnsville Boulevard,Warminster,PA,"""18974"""
Autry Technology Center,1201 W Willow,Enid,OK,"""73703-2506"""
Avant Gard The School,8131 Kingston Street,Avon,IN,"""46123"""
Ave Maria School of Law,1025 Commons Circle,Naples,FL,"""34119"""
